1	11	10
1	12	10
1	13	10
1	22	30
1	24	10
2	5	8
2	12	2
2	16	4
2	22	6
2	27	8
3	6	6
3	22	9
3	25	6
4	7	6
4	10	3
4	17	6
4	19	3
4	20	3
4	23	6
4	29	6
5	12	4
5	16	8
5	22	12
5	27	16
6	22	6
6	25	4
7	10	2
7	17	4
7	19	2
7	20	2
7	23	4
7	29	4
8	19	3
8	26	9
9	14	4
9	17	2
9	20	2
9	21	4
10	12	1
10	17	2
10	18	1
10	19	1
10	20	1
10	22	1
10	23	2
10	28	3
10	29	2
11	12	4
11	13	4
11	22	12
11	24	4
12	13	4
12	16	2
12	18	1
12	22	16
12	24	4
12	27	4
12	28	3
13	22	12
13	24	4
14	17	2
14	20	2
14	21	4
15	22	25
15	23	5
16	22	6
16	27	8
17	19	2
17	20	3
17	21	2
17	23	4
17	29	4
18	22	1
18	28	3
19	20	1
19	23	2
19	26	3
19	29	2
20	21	2
20	23	2
20	29	2
22	23	5
22	24	12
22	25	6
22	27	12
22	28	3
23	29	4
