id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
1	acoustic resonator	-0.1021	-0.774	4	5	33	3	2021
2	adachisato model	0.7368	-0.3513	3	2	8	2	2023
3	air duct	-0.5609	-0.548	1	6	36	2	2024
4	analysis	0.0984	0.8199	2	6	28	3	2024.6667
5	asymmetrical undercutting	-0.7777	0.2068	1	6	51	3	2024
6	aulos	0.2912	-0.7317	4	5	40	4	2021
7	cavitation effect	-0.1131	0.8123	2	6	28	2	2026
8	constant input power	-0.3468	0.7515	2	6	28	2	2026
9	damping controlled regime	0.771	-0.1715	5	2	8	2	2024
10	effective radius	-0.6152	0.2999	1	6	51	3	2024
11	eigenfrequency	-0.82	-0.0108	1	6	36	2	2024
12	energy	-0.7752	-0.2477	1	3	8	2	2025
13	excitation mechanism	-0.3113	-0.7116	4	7	30	4	2023.25
14	expansion angle	-0.2191	0.5433	2	6	39	3	2026
15	hole	-0.6992	-0.425	1	6	75	7	2023.4286
16	khlui	0.5315	0.5531	3	3	18	3	2021
17	khlui sound	0.6764	0.4147	3	3	14	2	2021
18	numerical simulation	0.2982	0.7635	2	6	28	2	2026
19	organ pipe nozzle	0.2349	0.5523	2	6	28	2	2026
20	pressure oscillation	0.4793	-0.6366	5	2	8	2	2024
21	recording	0.1	-0.7845	4	5	14	2	2023.5
22	resonance frequency	0.6314	-0.5233	5	2	8	2	2024
23	schumacher model	0.8057	0.034	3	2	8	2	2023
24	signal	0.315	-0.1714	3	8	38	4	2021
25	sound synthesis	0.745	0.2214	3	5	22	4	2022
26	throat diameter	-0.4871	0.5923	2	6	39	3	2026
27	tonehole	-0.3235	-0.4282	1	12	80	6	2023.1667
28	woodwind instrument	-0.5638	-0.0494	1	8	44	4	2024.5
