id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
1	acoustic oscillation	-0.5837	0.5668	2	9	16	2	2021.5
2	air	0.0797	0.1084	4	5	5	2	2020.5
3	brass instrument	1.2311	0.3121	1	3	3	2	2022.5
4	clarinet	0.5455	0.7672	1	3	4	2	2020.5
5	excitation mechanism	1.1069	-0.1332	1	5	7	3	2024
6	flue organ pipe	-0.7519	0.406	2	9	16	2	2021.5
7	flute	-0.2776	-0.5448	3	10	13	3	2018.6667
8	flute wind musical instrument	-0.1285	-0.8317	3	6	8	2	2020
9	foot	-0.478	0.6072	2	9	16	2	2021.5
10	form	0.1876	-0.2687	5	8	9	2	2020
11	helmholtz resonator	-0.7744	0.2171	2	9	16	2	2021.5
12	hole	0.1511	-0.4021	5	11	13	3	2020.6667
13	influence	-0.3047	0.3072	4	6	6	3	2023.6667
14	input impedance	0.9737	0.6566	1	3	3	2	2018.5
15	jet velocity	-0.345	0.5768	2	11	13	2	2023
16	length	-0.0759	-0.3338	4	8	8	2	2020
17	modelling	-0.5274	-0.9687	3	4	4	2	2017.5
18	numerical simulation	-0.6052	-0.0726	3	4	4	2	2022.5
19	optimization method	-0.2321	-0.4126	5	5	5	2	2017.5
20	organ pipe	-0.7579	-0.1983	3	4	5	3	2017
21	pipe	-0.2859	0.0773	4	19	31	7	2018.7143
22	pressure	-0.5329	-0.5262	3	7	7	2	2018.5
23	recording	1.207	-0.0808	1	3	4	2	2023.5
24	resonance frequency	-0.7973	0.3118	2	9	16	2	2021.5
25	resonant frequency	0.2704	-0.0622	4	8	8	2	2021
26	role	-0.3291	0.0469	2	18	28	5	2020
27	single reed woodwind instrument	1.0784	-0.5221	1	3	3	2	2021
28	sound synthesis	0.5756	0.6571	1	3	4	3	2020.6667
29	theory	-0.2454	0.187	4	12	13	2	2021
30	tonehole	0.722	-0.255	1	7	9	4	2021.75
31	tube	0.1261	0.4911	1	6	6	2	2022.5
32	ue organ pipe	-0.6788	0.4941	2	9	16	2	2021.5
33	wind musical instrument	-0.2128	-0.8018	3	6	8	3	2019.6667
34	woodwind instrument	0.6695	-0.376	1	6	7	2	2024.5
