1	6	2
1	9	2
1	11	2
1	15	1
1	21	2
1	24	2
1	26	2
1	29	1
1	32	2
2	13	1
2	16	1
2	21	1
2	25	1
2	29	1
3	5	1
3	14	1
3	23	1
4	14	1
4	28	2
4	31	1
5	23	2
5	27	1
5	30	2
5	34	1
6	9	2
6	11	2
6	15	1
6	21	2
6	24	2
6	26	2
6	29	1
6	32	2
7	8	2
7	10	1
7	12	2
7	16	1
7	17	1
7	19	1
7	21	1
7	22	1
7	26	1
7	33	2
8	12	1
8	16	1
8	17	1
8	22	1
8	33	2
9	11	2
9	15	1
9	21	2
9	24	2
9	26	2
9	29	1
9	32	2
10	12	2
10	19	1
10	21	1
10	25	1
10	26	1
10	30	1
10	34	1
11	15	1
11	21	2
11	24	2
11	26	2
11	29	1
11	32	2
12	16	1
12	19	1
12	21	1
12	25	1
12	26	1
12	30	1
12	33	1
12	34	1
13	15	1
13	18	1
13	21	1
13	26	1
13	31	1
14	28	1
15	21	2
15	24	1
15	26	2
15	29	1
15	31	1
15	32	1
16	21	1
16	25	1
16	29	1
16	33	1
17	22	1
17	33	1
18	20	1
18	22	1
18	26	1
19	21	1
19	26	1
20	21	2
20	22	1
20	26	1
21	24	2
21	25	1
21	26	4
21	29	2
21	31	1
21	32	2
22	26	1
22	33	1
23	30	1
24	26	2
24	29	1
24	32	2
25	29	1
25	30	1
25	34	1
26	29	1
26	31	1
26	32	2
27	30	1
27	34	1
28	31	1
29	32	1
30	34	2
