1	2	6
1	3	6
1	12	2
1	13	4
1	14	6
1	26	4
2	3	9
2	12	3
2	13	6
2	14	9
2	26	6
3	12	3
3	13	6
3	14	9
3	26	6
4	7	3
5	9	8
5	10	8
6	8	8
6	12	8
6	17	4
6	18	2
6	21	4
6	22	4
6	31	10
7	11	2
7	18	1
7	24	1
7	25	3
8	12	16
8	17	8
8	18	4
8	21	8
8	22	8
8	31	20
9	10	4
11	18	2
11	24	2
11	25	6
12	13	2
12	14	3
12	17	8
12	18	10
12	21	8
12	22	15
12	23	6
12	26	2
12	31	21
13	14	6
13	26	4
14	26	6
15	30	6
17	18	2
17	21	4
17	22	4
17	31	10
18	21	2
18	22	6
18	23	4
18	24	1
18	25	3
18	31	5
20	27	12
20	28	4
20	29	4
21	22	4
21	31	10
22	23	4
22	31	10
24	25	3
27	28	12
27	29	12
28	29	4
