1	5	1
1	16	1
1	27	1
1	33	1
1	61	1
1	66	1
1	70	1
1	77	1
1	78	1
1	91	1
2	4	1
2	9	2
2	19	1
2	22	2
2	24	1
2	28	1
2	56	2
2	93	1
2	102	2
2	107	1
2	109	1
2	116	2
2	118	2
2	121	1
2	123	1
3	7	2
3	16	1
3	18	2
3	26	1
3	31	1
3	40	3
3	43	2
3	47	1
3	48	2
3	50	1
3	51	1
3	52	2
3	53	2
3	54	2
3	59	1
3	72	1
3	73	1
3	75	1
3	88	2
3	91	2
3	103	1
3	104	1
3	107	2
3	112	2
3	120	1
4	8	1
4	9	1
4	17	1
4	19	1
4	22	1
4	24	1
4	27	1
4	28	1
4	36	1
4	37	1
4	45	1
4	56	1
4	78	1
4	86	1
4	93	1
4	94	2
4	102	1
4	106	1
4	114	1
4	116	1
4	118	1
4	121	1
5	34	1
5	70	1
6	10	2
6	15	2
6	26	1
6	32	1
6	52	1
6	55	2
6	57	2
6	58	1
6	59	1
6	65	2
6	71	1
6	72	1
6	79	2
6	89	2
6	90	2
6	92	2
6	94	1
6	107	1
6	111	2
6	112	1
6	115	1
7	13	1
7	15	2
7	16	1
7	17	1
7	18	1
7	23	1
7	26	1
7	29	1
7	31	1
7	33	1
7	36	1
7	37	1
7	38	1
7	39	1
7	40	2
7	43	1
7	47	1
7	48	1
7	50	2
7	51	1
7	52	3
7	53	1
7	54	2
7	55	2
7	58	2
7	59	2
7	62	1
7	72	2
7	73	1
7	75	1
7	80	1
7	83	2
7	88	1
7	91	1
7	100	1
7	107	2
7	112	1
8	20	1
8	27	1
8	36	1
8	45	1
8	55	1
8	78	1
8	86	1
8	94	1
8	99	1
9	19	1
9	22	2
9	24	1
9	28	1
9	56	2
9	93	1
9	102	2
9	107	1
9	116	2
9	118	2
9	121	1
10	15	2
10	55	2
10	57	2
10	58	1
10	65	2
10	79	2
10	89	2
10	90	2
10	92	2
10	94	1
10	107	1
10	111	2
11	12	1
11	15	1
11	24	1
11	28	1
11	48	1
11	50	1
11	52	1
11	72	1
11	84	1
11	107	1
12	14	1
12	24	1
12	26	1
12	28	1
12	34	1
12	42	1
12	49	2
12	50	1
12	57	1
12	64	1
12	83	1
12	84	2
12	91	1
12	107	1
12	117	1
13	36	2
13	37	1
13	38	1
13	50	1
13	62	1
13	65	1
13	68	1
13	78	1
13	83	1
13	85	1
13	86	1
13	93	1
13	100	1
14	26	1
14	34	1
14	42	1
14	49	1
14	64	1
14	68	1
14	70	1
14	83	1
14	84	1
14	91	2
14	93	1
14	98	1
14	117	1
15	17	1
15	23	1
15	25	1
15	29	1
15	33	1
15	39	2
15	48	1
15	52	2
15	55	4
15	57	2
15	58	4
15	65	2
15	72	2
15	79	2
15	80	2
15	83	1
15	89	2
15	90	2
15	92	2
15	94	1
15	107	1
15	111	2
