id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
106	theoretical study	0.75	0.1846	2	31	54	3	2011.6667
107	theory	-0.1605	0.0351	4	51	59	8	2012.125
108	time domain simulation	0.0554	0.9959	6	10	10	2	2013.5
109	tonehole model	0.5327	1.0542	6	9	10	2	2020
110	total generation	1.057	-0.4464	2	28	49	2	2009
111	transducer	-0.9158	0.2956	5	13	23	1	2018
112	ue organ pipe	-0.6343	-0.7955	3	22	30	3	2019.3333
113	upper lip	-1.0221	-0.0705	1	8	9	2	2012.5
114	variation	0.642	0.1685	2	30	32	3	2011.6667
115	vibration	0.1964	-0.2573	2	44	69	7	2009.5714
116	visco thermal loss	0.1515	0.0513	4	20	26	3	2013
117	vorticity	0.4793	-0.455	4	16	16	2	2011
118	wall	0.4826	0.5992	4	16	22	3	2009
119	webster horn equation	1.1168	-0.306	2	28	49	2	2009
120	width	-0.4799	-0.5858	3	24	25	3	2018
121	wind instruments	0.7526	0.262	4	37	41	4	2010.5
122	wind musical instrument	0.094	-0.7501	3	11	13	4	2018
123	woodwind instrument	0.3631	0.4543	6	13	14	3	2021.3333
